"idcliente","frequenciacompras"
178410,7477
149110,5670
140960,5080
127480,4284
146060,2660
153110,2357
146460,2076
130890,1812
132630,1655
142980,1637
150390,1460
141560,1393
181180,1252
141590,1136
160330,1120
147960,1115
150050,1096
140560,1066
147690,1039
130810,1024
145270,971
175110,963
157190,928
144560,921
165490,898
155550,878
169310,877
178110,799
145050,756
177570,737
129210,720
124150,714
151590,710
176750,705
167640,692
177350,690
182830,689
173380,681
155470,680
169040,659
162410,652
155290,652
167290,648
131370,644
126810,638
179200,630
158560,620
167130,618
139690,612
169230,607
140880,589
163600,589
145020,589
141940,579
132300,573
130980,572
136940,568
144150,568
176110,563
146670,561
153580,551
169100,545
150230,543
166860,536
158610,534
176020,533
172380,533
128670,524
126820,524
159930,523
143670,520
172310,516
154980,512
170590,508
173370,504
159980,499
148950,498
145340,494
153560,489
150330,481
134080,478
125400,478
171390,477
140490,476
133190,476
179540,474
156400,474
173460,472
161610,470
173150,467
126210,467
165580,460
136680,460
158670,459
124710,459
130180,458
172200,456
180690,453
173650,447
125670,446
140850,445
180410,443
167460,442
150780,440
175810,439
147300,436
181090,435
150210,434
150440,433
181020,431
132680,427
134510,424
156150,423
124740,422
134880,422
124330,420
168130,419
130690,419
167120,419
130970,416
128410,412
156010,410
145620,408
135210,407
173400,407
130040,404
171070,404
150610,403
173640,402
130500,401
177990,397
157520,397
175760,397
173770,397
177580,396
145460,394
150340,389
146840,388
148490,388
167100,387
177060,382
134580,382
169840,382
175300,380
172430,380
148000,378
168430,378
126370,377
160070,373
144320,372
164220,369
178650,369
137670,368
181160,368
145870,367
149360,364
175090,364
147040,362
130780,358
127200,354
124510,354
180550,354
127570,352
167450,351
152490,350
154430,349
139850,349
149030,347
145470,347
164260,346
137980,346
126830,344
147020,342
151500,341
181220,340
124720,339
147110,339
161330,338
147130,337
178130,337
138710,336
174500,336
135710,336
143950,335
137090,335
127050,334
161100,334
124840,333
167790,330
130010,329
174280,328
169190,326
145350,325
179650,323
140710,321
146880,321
139750,320
132090,320
168140,319
163930,318
170490,317
147010,316
163270,314
132690,314
128390,313
164740,312
167910,312
149610,312
127660,310
151940,310
141780,309
167000,308
155130,308
137550,307
155700,306
128560,306
129710,305
137420,305
131020,304
176130,304
134180,304
170500,303
176770,303
169400,303
134680,302
153820,302
177690,300
124770,300
131480,300
138690,299
158050,299
178500,297
135340,296
170680,296
176340,296
157270,295
161870,295
126260,294
124280,294
176250,294
163260,290
165230,290
172840,288
157500,288
179750,287
176860,286
162420,285
145060,284
140570,283
145830,281
143900,281
142860,280
168730,279
160490,279
164400,279
145250,278
166840,277
161150,277
154360,277
166090,276
174490,275
167940,274
127310,274
177190,274
154270,273
125390,273
182230,272
169420,272
154930,271
151520,271
125170,271
174260,271
167050,270
174160,269
162550,269
172180,268
127000,268
182250,267
157860,266
168390,266
123620,266
141890,265
131780,265
144460,265
154530,264
154260,264
158040,262
125360,261
157080,260
133340,260
167280,260
155440,259
141910,259
127140,259
176520,259
178700,259
175960,258
146800,258
159100,258
131740,258
143290,258
150580,258
158340,258
162650,258
166550,255
152710,254
175710,253
167710,253
144720,253
166700,252
170170,252
175890,251
165500,251
146590,251
148100,251
176900,250
175280,250
140990,250
140310,250
173720,249
169450,249
145720,249
155320,249
179610,248
125830,247
135990,245
177160,245
124900,245
123590,243
153010,242
182260,242
140300,241
141800,240
171260,240
160290,240
159840,240
129570,238
144490,237
142910,237
147230,235
167440,235
147550,235
150590,234
124310,234
139880,234
134710,233
146530,233
176510,232
124760,232
171910,231
147190,231
169380,231
126620,230
164090,230
126270,230
171600,229
156440,226
131980,226
167220,225
144260,224
145730,224
161450,224
157010,223
140400,223
144620,223
176090,222
144220,222
180770,222
148080,222
170190,221
160810,221
167670,220
123780,219
130130,219
164640,219
177300,218
142770,218
178610,218
161860,218
127440,218
181450,217
151440,217
165920,216
124810,216
131240,215
135050,215
129490,215
176730,214
163700,214
140920,214
160160,214
155310,213
173890,213
149780,213
178270,212
145300,212
170150,212
154440,212
151890,212
153510,212
136100,212
132670,211
155020,211
141460,210
163480,210
170970,210
135270,209
140510,209
173480,209
139990,208
160110,208
172110,208
155180,207
175930,207
172280,207
165560,207
127090,207
125970,206
174190,206
140440,206
138420,206
155720,205
174630,204
152900,204
145290,204
137640,203
175850,203
156760,202
164580,202
159070,202
140600,202
147330,202
150460,200
131130,200
132320,200
141320,200
144190,200
174000,199
127490,199
124370,199
163950,198
174040,198
167170,198
151140,197
137770,197
127530,197
145240,196
160050,196
147090,196
170910,195
178580,195
169280,195
147350,194
153790,194
152960,194
137000,194
157070,194
137350,194
157870,193
167190,193
142210,193
177250,192
173230,192
152980,192
124170,192
136140,192
154160,192
144980,192
178940,191
158080,191
124490,191
136800,191
125530,191
146980,190
175900,190
134480,190
157560,190
167430,189
145540,189
181720,189
168180,188
125690,188
181250,187
154840,187
132660,187
132850,187
177900,187
170850,186
182040,186
166570,186
144100,186
143880,186
156220,185
137360,185
164010,185
155210,185
149630,184
158580,184
136340,184
177770,184
161210,184
167820,183
169050,183
159550,183
165250,183
168910,183
144990,182
123470,182
144010,182
157640,180
144610,180
129550,180
143070,180
166260,179
138810,178
131840,178
177500,178
150090,178
140830,177
159740,176
135360,176
124440,176
138150,176
160150,176
160590,175
182450,175
142270,175
146490,175
130150,175
165330,174
135880,174
180960,173
146390,172
130470,172
128360,172
133810,172
157380,172
166070,172
135230,172
140040,171
170730,171
126880,171
131390,170
168800,170
149440,170
174720,169
170010,169
164420,169
125620,168
135580,167
134370,167
156320,167
158380,167
141250,166
123700,166
133620,166
156870,166
182720,166
160850,166
164690,166
136540,166
152180,165
175670,165
162830,165
149070,165
168370,165
126780,165
177280,165
124730,165
138800,165
182290,164
167550,164
145910,164
164070,164
145030,164
179970,163
166780,163
156960,163
163030,162
162000,162
161800,162
143340,162
137720,162
135070,162
146690,161
126680,161
127210,161
140160,161
139490,160
160190,160
135660,160
178370,160
141120,160
141210,159
130930,159
181390,159
155270,159
176590,158
133730,158
181980,158
172130,157
176440,157
167260,157
127080,157
167750,157
155140,157
126850,157
145920,157
138380,157
134260,157
168980,157
165200,156
123950,156
156280,155
130900,155
141100,155
133940,155
150650,155
168770,155
154640,155
150040,154
124800,154
142820,154
154910,154
128770,154
166690,153
126130,153
146620,153
125200,152
133840,152
166330,152
177740,151
155110,151
155060,151
163160,151
165110,151
149710,150
175910,150
164700,150
139710,149
127790,149
125010,149
163320,149
141750,149
139010,149
146290,148
150240,148
139110,148
168000,148
178630,148
173410,148
159060,148
168090,147
172030,147
167880,147
147320,147
158620,147
170840,147
125020,147
154070,146
136440,146
132080,146
179740,146
164770,146
159160,146
150890,145
141790,145
136320,145
140810,145
155250,145
148420,145
167010,144
125770,144
125240,144
131100,144
148680,144
171640,144
139940,144
155810,144
155740,143
140320,143
152350,143
145930,143
170690,143
148520,143
142990,143
142620,143
138830,142
177000,142
152030,142
137560,142
180750,142
142430,141
180220,141
139560,141
157550,141
179210,141
135170,141
169830,140
169070,140
175450,140
170710,140
131260,140
167250,140
132120,140
181960,139
152810,139
127270,139
138620,139
178020,139
135960,138
149520,138
158450,138
178830,138
143870,138
158540,138
148410,138
160130,138
150510,138
170270,138
160140,137
164660,137
139520,137
158600,137
180650,137
168710,137
177440,136
167700,136
164970,136
162400,135
137690,135
132460,135
131410,135
138040,135
174420,135
162580,135
142340,135
135550,135
147660,135
176120,135
174440,135
144870,134
161910,134
168890,134
137040,134
130480,134
141350,134
133400,134
182100,134
174340,134
169160,133
158110,133
127120,133
172880,133
175160,133
182600,133
156730,132
125980,132
144820,132
146230,132
164380,131
144280,131
173140,131
123570,131
147100,131
162250,131
130210,131
172930,130
148440,130
153730,130
157960,130
157690,130
146960,130
164600,129
127430,129
123600,129
129350,129
181680,128
157200,128
175660,128
160760,128
133650,128
131360,127
175040,127
179790,127
180440,127
145650,127
161560,127
143410,127
177870,127
134220,127
162710,127
149300,127
151250,127
135930,127
168690,126
169180,126
165700,126
148540,126
123970,126
135760,126
126560,126
159960,126
163670,125
124560,125
161700,125
151570,125
124230,125
171800,125
176850,125
152280,125
169870,124
163400,124
127260,124
158770,124
125180,124
131680,124
178120,124
133170,124
162530,123
150380,123
158190,123
171310,123
176290,123
168990,123
162100,123
143210,123
141070,123
146260,122
146570,122
144180,122
172870,122
155840,122
167060,122
180160,122
139080,122
154100,122
150060,121
139930,121
143820,121
126470,121
154940,121
160570,121
180790,120
169850,120
171140,120
148780,120
135480,120
162220,120
129370,120
173600,120
159870,120
144650,120
131150,120
144930,120
145770,119
131590,119
131990,119
170920,119
137710,119
181800,119
156410,119
176820,118
172650,118
146700,118
158740,118
181560,118
138950,118
125940,118
182570,118
166520,118
162930,118
129700,117
174220,117
128380,117
143090,117
161260,117
148250,117
166280,117
161500,117
147760,117
182310,117
143600,117
158000,117
161430,117
139240,117
152200,117
129480,116
133440,116
176670,116
163690,116
168410,116
129010,116
137580,116
159320,115
138700,115
153760,115
157040,115
162610,115
156650,115
150360,115
158270,115
170880,115
177220,115
135100,115
176960,115
142320,115
166720,114
156740,114
153650,114
178380,114
125560,114
150120,114
125780,114
172720,114
171090,114
182190,114
155630,113
128400,113
137820,113
145530,112
150020,112
150220,112
150540,112
142110,112
168750,112
142390,112
178840,111
147000,111
142240,111
172540,111
157160,111
142580,111
167350,111
140620,111
152510,111
162010,111
130770,111
177970,111
142500,111
150600,111
138540,110
145440,110
174590,110
150310,110
180430,110
138900,110
156790,110
131960,110
152140,110
152410,110
163760,110
159190,110
151720,110
176720,110
159010,110
130140,109
124090,109
139820,109
174910,109
164560,109
155490,109
173810,109
134810,109
163580,109
159830,109
165150,108
135520,108
148370,108
132240,108
142150,108
163240,108
124320,108
136580,108
129650,108
133270,108
172590,108
163790,108
150930,108
142450,108
180340,107
164340,107
145040,107
163740,107
128680,107
128540,107
133090,107
174610,106
142570,106
162790,106
125230,106
151230,106
174060,106
126100,106
180970,106
173680,106
126840,105
175120,105
146400,105
143050,105
125600,105
124080,105
129330,105
126150,105
133200,105
139830,105
150680,104
124060,104
123800,104
182350,104
144080,104
171620,104
138750,104
137250,104
182410,104
178970,103
175550,103
172360,103
137150,103
155940,103
127820,103
127470,103
177050,103
155300,103
152910,103
160030,103
145950,102
137170,102
147590,102
142100,102
158720,102
151280,102
170430,102
126350,101
178860,101
134210,101
126330,101
142900,101
141610,101
151050,101
138490,101
171590,101
146510,101
143150,101
126690,101
160230,101
169600,101
126070,101
142920,100
174510,100
142170,100
151060,100
156200,100
169120,100
123880,100
163610,100
160660,100
178000,100
134350,100
128430,100
164550,99
172140,99
151640,99
159650,99
148980,99
152370,99
148660,99
170610,99
144040,99
144510,99
123830,99
131340,98
124380,98
145150,98
145840,98
168050,98
161680,98
172890,98
159810,97
168920,97
127580,97
177380,97
129160,97
136590,97
154110,97
162840,97
159530,97
124290,97
145410,97
181780,97
155050,97
170420,97
176140,97
144140,97
129470,97
154820,97
154650,97
160310,96
159500,96
153340,96
125840,96
146640,96
159760,96
162240,96
136010,96
166180,96
136500,96
170860,96
149010,95
177680,95
158800,95
167500,95
153210,95
136370,95
129630,95
128650,95
145070,95
138220,95
135460,95
157990,95
164960,95
153670,95
140930,95
173210,95
127590,95
166380,94
172900,94
131830,94
163530,94
133790,94
150480,94
162210,94
146750,93
138500,93
166740,93
167900,93
144430,93
135200,93
151130,93
169920,93
162050,93
153700,93
171980,93
136070,93
151790,93
138270,92
126700,92
140380,92
146210,92
129400,92
123910,92
125280,92
148710,92
155080,92
136270,92
168060,92
126200,92
176550,91
162440,91
151460,91
128260,91
176480,91
155730,91
151870,91
134670,91
180360,91
160120,90
143360,90
126190,90
179320,90
182520,90
181790,90
132130,90
124550,90
136950,90
171050,90
129090,90
162450,90
132650,90
156600,90
146650,90
178900,90
166760,89
161530,89
161280,89
173970,89
147400,89
180920,89
147480,89
152450,89
163830,89
158100,89
127040,88
144670,88
179990,88
125760,88
130120,88
179170,88
182390,88
169790,88
174690,88
152880,88
172820,88
158500,88
164180,88
179640,88
143120,87
168850,87
149130,87
123810,87
143970,87
149340,87
165710,87
142090,87
175070,87
125850,87
135900,87
175540,87
131570,87
126250,86
177540,86
172520,86
133160,86
134910,86
163720,86
173710,86
134750,86
176630,86
171730,86
175150,86
139590,86
157470,86
139950,86
169510,86
131490,86
168170,86
182300,86
123980,85
123640,85
161690,85
153940,85
154850,85
128760,85
137220,85
133570,85
157000,85
151290,84
165030,84
140050,84
169060,84
151110,84
159520,84
165530,84
153390,84
127830,84
161730,84
157430,84
162180,84
153920,84
140340,84
171880,84
129280,84
131550,84
177590,84
165950,83
124630,83
126740,83
163940,83
157850,83
135770,83
170540,83
160530,83
160450,83
123520,83
140480,83
155330,83
164630,82
158890,82
128860,82
175190,82
163980,82
150670,82
164440,82
151220,82
175950,82
135620,82
174050,82
149850,82
152650,82
174810,82
136670,82
176560,82
164950,82
171470,81
178640,81
138510,81
133010,81
133050,81
170820,81
158980,81
157210,80
171790,80
132800,80
181610,80
155450,80
151400,80
146070,80
147940,80
177960,80
169240,80
149650,80
139910,80
173020,79
132710,79
131580,79
158550,79
129310,79
142350,79
160090,79
154290,79
154830,79
131620,79
129520,79
162950,79
151170,79
135640,79
169000,79
131860,79
167090,79
167300,79
131180,79
134770,79
177790,79
149210,78
156800,78
142510,78
130300,78
134250,78
128530,78
128900,78
152400,78
174700,78
170630,78
156710,78
136470,78
179940,78
161310,78
133130,78
156940,78
182420,78
135440,78
136230,78
163860,77
155960,77
170750,77
149160,77
156060,77
167140,77
176760,77
169290,77
163470,77
163410,77
135690,77
124940,77
152600,77
124070,77
127100,77
132590,77
165310,77
123770,77
174900,76
146560,76
159390,76
169800,76
131170,76
154720,76
138080,76
129850,76
138600,76
150000,76
161010,76
130550,76
165040,76
149540,75
170370,75
173870,75
124830,75
129880,75
137520,75
133240,75
142460,75
163620,75
168010,75
157910,75
129100,75
170950,74
146730,74
145600,74
159030,74
159330,74
177020,74
159670,74
160100,74
175370,74
141050,74
179680,74
153980,73
143960,73
130820,73
151340,73
123490,73
135330,73
173450,73
181770,73
148930,73
131510,73
173200,73
126450,73
144070,73
171830,73
166560,73
170520,72
126890,72
158140,72
128470,72
141160,72
149980,72
179140,72
138310,72
163990,72
144660,72
133100,72
149760,72
155350,71
176190,71
177640,71
180730,71
130320,71
170140,71
173790,71
181880,71
134500,71
128850,71
146910,71
125260,71
157370,71
147580,71
140640,71
136110,71
136300,71
147150,71
160650,71
150690,70
150500,70
153490,70
157300,70
144470,70
180940,70
145430,70
129420,70
160540,70
137610,70
181300,70
148230,70
160420,70
134280,70
176330,70
143440,70
175220,70
179500,69
147290,69
170410,69
163170,69
134860,69
127160,69
143640,69
152010,69
127620,69
172300,69
166530,69
172770,69
125460,69
127230,69
179490,69
172550,69
149040,69
161720,69
138130,69
166370,69
162490,69
173750,69
148690,69
147450,69
167480,69
145610,69
170620,69
125900,68
172950,68
145110,68
181170,68
160220,68
173500,68
182020,68
172480,68
155000,68
145400,68
176690,68
151360,68
158260,68
179360,68
179660,68
181890,68
158700,68
182870,68
154710,67
156050,67
150530,67
151450,67
134290,67
148340,67
130640,67
129040,67
171580,67
142140,67
164160,67
151040,67
178280,67
177310,67
177830,67
168070,67
161880,67
145140,67
150250,66
127750,66
174120,66
151540,66
125300,66
141400,66
135320,66
173060,66
160980,66
128720,66
176180,66
131760,66
160560,66
177270,66
141300,66
155030,66
166120,66
163590,66
132210,66
140190,66
132400,66
150410,66
171000,65
160400,65
142260,65
126110,65
170470,65
138820,65
140350,65
162080,65
164310,65
131670,65
148560,65
135000,65
158310,65
140780,65
157220,65
141880,65
167950,64
129890,64
179310,64
174100,64
182210,64
158010,64
160620,64
145320,64
146920,64
125080,64
159770,64
126000,64
156250,64
162740,64
126300,64
142760,64
150190,64
176040,63
127540,63
123930,63
136520,63
178880,63
149480,63
131920,63
134560,63
137280,63
125340,63
152720,63
167620,63
129510,63
171750,63
160940,63
168420,63
136360,63
170810,63
144420,63
123710,63
131380,63
172660,63
148170,63
129060,63
175620,63
137440,63
124620,62
157450,62
142970,62
164450,62
158390,62
180820,62
158210,62
170580,62
125990,62
172210,62
162060,62
166000,62
166880,62
163680,62
124570,62
129360,62
166440,62
151840,62
145330,62
136350,62
177860,62
170700,62
178670,62
178320,61
150260,61
182370,61
181430,61
182630,61
160240,61
140870,61
174540,61
125000,61
157630,61
167760,61
133140,61
155500,61
146720,61
129940,61
124120,61
142930,61
178090,61
159200,60
147390,60
125720,60
156300,60
154400,60
147750,60
143460,60
170640,60
137190,60
138020,60
170900,60
159480,60
169490,60
168040,60
166850,60
142230,60
162660,60
133630,60
158910,60
166290,60
126090,60
156080,60
148570,60
149950,60
154490,60
151080,60
153530,60
128200,59
136290,59
147410,59
166930,59
171890,59
143350,59
134470,59
123560,59
169340,59
135150,59
178350,59
138210,59
134740,59
142160,59
143830,59
174020,59
129970,59
173010,59
138670,59
123990,59
132970,59
134760,58
149590,58
161750,58
152270,58
154560,58
153060,58
148590,58
138840,58
135910,58
139310,58
152890,58
131070,58
123540,58
144520,58
136810,57
168950,57
150880,57
169150,57
124460,57
138140,57
145520,57
163850,57
143750,57
172040,57
161020,57
149200,57
153290,57
136730,57
125500,57
132030,57
141710,57
173730,57
136420,57
150620,57
137800,57
165720,57
163500,57
173580,57
143810,56
128280,56
136550,56
140520,56
164020,56
141020,56
179130,56
163200,56
154570,56
132430,56
145490,56
164930,56
179760,56
165600,56
148010,56
180010,56
154660,56
169360,56
172990,55
138460,55
175970,55
143590,55
155710,55
127720,55
138350,55
160360,55
148970,55
142670,55
167800,55
154340,55
131220,55
172500,55
177030,55
144400,55
157060,55
127170,55
155220,55
173110,55
151560,55
124880,55
127840,54
132110,54
149530,54
133080,54
162700,54
124050,54
176080,54
133390,54
171690,54
178570,54
169540,54
132940,54
134390,54
139790,54
173920,54
140500,54
144090,54
181710,54
145080,54
158320,54
147380,54
150730,54
164060,54
135830,53
133760,53
157120,53
167680,53
132350,53
136920,53
127240,53
142560,53
133300,53
155680,53
173030,53
176710,53
127520,53
174330,53
137600,53
156810,53
126400,53
146250,53
152530,53
172470,53
127010,53
127220,53
177710,53
154600,53
148830,53
165940,53
169300,53
148150,53
154210,53
170830,52
170070,52
140670,52
151320,52
155990,52
171350,52
159900,52
165540,52
163640,52
181260,52
147700,52
141290,52
177650,52
152110,52
174580,52
166670,52
126800,52
142610,52
180050,52
141630,52
176490,52
154060,52
123720,52
175050,52
125410,52
141540,52
136620,52
168590,52
135010,52
160920,51
154520,51
133360,51
135490,51
144410,51
179080,51
145940,51
154670,51
162430,51
133890,51
125140,51
163650,51
158290,51
155530,51
133540,51
176460,51
164800,51
178480,51
151920,51
176240,50
150320,50
131210,50
124340,50
177720,50
154890,50
178390,50
169030,50
128440,50
177200,50
164190,50
127780,50
152380,50
169210,50
175940,50
129190,50
158350,50
153990,50
178850,50
125450,50
142310,50
129130,50
166390,50
134920,50
156450,50
175640,49
137080,49
159780,49
145980,49
172970,49
156260,49
141520,49
146550,49
177930,49
178600,49
165360,49
173240,49
170020,49
139400,49
134300,49
135630,49
175520,49
150760,49
182360,49
152760,49
152390,49
158830,49
136560,49
158150,49
173830,49
126790,48
170960,48
171440,48
161080,48
146900,48
175790,48
126520,48
174320,48
148620,48
137070,48
148180,48
158070,48
147160,48
178190,48
156580,48
141670,48
130370,48
161030,48
130660,48
179840,48
134950,48
128780,47
142890,47
168330,47
140020,47
153120,47
152550,47
128490,47
129390,47
172230,47
182480,47
126420,47
164940,47
175270,47
130160,47
172290,47
162290,47
153250,47
167740,47
128150,47
166240,47
150950,47
131090,47
167340,47
124650,47
150790,47
126570,47
148750,47
177390,47
158410,47
152740,47
150280,47
156560,47
160200,46
167770,46
132780,46
147900,46
162350,46
132000,46
128220,46
144880,46
131710,46
180150,46
182650,46
162090,46
128570,46
141280,46
154150,46
134550,46
134310,46
127280,46
155790,46
176920,46
178740,46
141380,46
138240,46
156020,46
135750,46
148050,46
148800,46
180610,46
130280,45
175800,45
139390,45
143520,45
165390,45
162680,45
131400,45
143890,45
181920,45
145500,45
141570,45
162040,45
154800,45
127940,45
161840,45
127640,45
145970,45
129250,45
126760,45
137900,45
156180,45
124210,45
180350,45
126460,45
175210,45
164150,45
147250,45
163330,45
149180,45
151160,45
157570,45
139410,45
144850,44
176530,44
172860,44
135090,44
154780,44
153660,44
136170,44
149230,44
141270,44
166810,44
147310,44
170060,44
152520,44
162140,44
172270,44
155820,44
169320,44
131310,44
154370,44
135160,44
168930,44
143790,44
177950,44
159000,44
175610,44
139000,43
156110,43
169020,43
158660,43
130400,43
177340,43
178060,43
144700,43
140750,43
132330,43
144120,43
137200,43
169330,43
170480,43
137300,43
180450,43
179370,43
126530,43
159800,43
124530,43
127350,43
155760,43
148960,43
